# This file contains the maximum values of wave functions at specific steps along the time evolution.
# The first row contains the corresponding N - the resolution of the saved simulation.
# The first column is the time step, and subsequent columns are max values for a given simulation.
,128,128.1,256,256
0,0.8626141548156738,0.8626141548156738,0.9897512793540956,0.9897512793540955
1,0.8626416325569153,0.8626416325569153,0.9894834160804749,0.9894834160804749
2,0.8626871109008789,0.8626871109008789,0.9892470240592957,0.9892470240592957
3,0.8627501130104065,0.8627501130104065,0.9892295002937316,0.9892295002937317
4,0.8628301024436951,0.8628301024436951,0.9895151257514954,0.9895151257514954
5,0.8629261255264282,0.8629261255264282,0.9900380969047546,0.9900380969047546
6,0.8630374670028687,0.8630374670028687,0.9906205534934998,0.9906205534934998
7,0.8631628751754761,0.8631628751754761,0.9910696744918824,0.9910696744918823
8,0.8633013367652893,0.8633013367652893,0.991276204586029,0.991276204586029
9,0.8634516000747681,0.8634516000747681,0.991258442401886,0.991258442401886
10,0.8636126518249512,0.8636126518249512,0.991132378578186,0.991132378578186
11,0.8637831807136536,0.8637831807136536,0.9910305738449096,0.9910305738449097
12,0.8639621138572693,0.8639621138572693,0.9910210967063904,0.9910210967063904
13,0.8641483783721924,0.8641483783721924,0.991073727607727,0.991073727607727
14,0.8643409609794617,0.8643409609794617,0.9910883903503418,0.9910883903503418
15,0.8645389676094055,0.8645389676094055,0.990964651107788,0.9909646511077881
16,0.8647416234016418,0.8647416234016418,0.990669012069702,0.9906690120697021
17,0.8649483323097229,0.8649483323097229,0.9902595281600952,0.9902595281600952
18,0.8651584982872009,0.8651584982872009,0.9898588061332704,0.9898588061332703
19,0.8653718829154968,0.8653718829154968,0.98959219455719,0.9895921945571899
20,0.8655881285667419,0.8655881285667419,0.9895275831222534,0.9895275831222534
21,0.8658071160316467,0.8658071160316467,0.9896491169929504,0.9896491169929504
22,0.866028904914856,0.866028904914856,0.989873230457306,0.9898732304573059
23,0.8662536144256592,0.8662536144256592,0.9900941848754884,0.9900941848754883
24,0.8664813041687012,0.8664813041687012,0.990231990814209,0.990231990814209
25,0.8667123317718506,0.8667123317718506,0.99025958776474,0.99025958776474
26,0.8669469952583313,0.8669469952583313,0.9902005195617676,0.9902005195617676
27,0.8671855330467224,0.8671855330467224,0.9901061058044434,0.9901061058044434
28,0.8674283027648926,0.8674283027648926,0.9900259971618652,0.9900259971618652
29,0.8676754832267761,0.8676754832267761,0.9899903535842896,0.9899903535842896
30,0.8679274320602417,0.8679274320602417,0.9900051355361938,0.9900051355361938
31,0.8681842684745789,0.8681842684745789,0.9900608658790588,0.9900608658790588
32,0.8684459924697876,0.8684459924697876,0.99014413356781,0.9901441335678101
33,0.868712842464447,0.868712842464447,0.9902451038360596,0.9902451038360596
34,0.8689844012260437,0.8689844012260437,0.9903598427772522,0.9903598427772522
35,0.869260847568512,0.869260847568512,0.9904865622520448,0.9904865622520447
36,0.8695417046546936,0.8695417046546936,0.9906219840049744,0.9906219840049744
37,0.8698266744613647,0.8698266744613647,0.9907598495483398,0.9907598495483398
38,0.8701151609420776,0.8701151609420776,0.9908920526504515,0.9908920526504517
39,0.8704066872596741,0.8704066872596741,0.9910109043121338,0.9910109043121338
40,0.8707006573677063,0.8707006573677063,0.9911116361618042,0.9911116361618042
41,0.8709962964057922,0.8709962964057922,0.9911935925483704,0.9911935925483704
42,0.871292769908905,0.871292769908905,0.9912586808204652,0.9912586808204651
43,0.8715895414352417,0.8715895414352417,0.9913100004196168,0.9913100004196167
44,0.8718855381011963,0.8718855381011963,0.9913507699966432,0.9913507699966431
45,0.872180163860321,0.872180163860321,0.9913830757141112,0.9913830757141113
46,0.8724724054336548,0.8724724054336548,0.991408109664917,0.991408109664917
47,0.872761607170105,0.872761607170105,0.9914264678955078,0.9914264678955078
48,0.8730471730232239,0.8730471730232239,0.991439163684845,0.991439163684845
49,0.8733282685279846,0.8733282685279846,0.9914478659629822,0.9914478659629822
50,0.8736042976379395,0.8736042976379395,0.9914551973342896,0.9914551973342896
51,0.8738746643066406,0.8738746643066406,0.9914637207984924,0.9914637207984924
52,0.874139130115509,0.874139130115509,0.9914759397506714,0.9914759397506714
53,0.8743969202041626,0.8743969202041626,0.9914935827255248,0.9914935827255249
54,0.8746479749679565,0.8746479749679565,0.991517186164856,0.991517186164856
55,0.8748921155929565,0.8748921155929565,0.9915462136268616,0.9915462136268616
56,0.8751291036605835,0.8751291036605835,0.9915797114372252,0.9915797114372253
57,0.8753589391708374,0.8753589391708374,0.9916163086891174,0.9916163086891174
58,0.8755815625190735,0.8755815625190735,0.9916546940803528,0.9916546940803528
59,0.8757970929145813,0.8757970929145813,0.9916939735412598,0.9916939735412598
60,0.8760055899620056,0.8760055899620056,0.9917335510253906,0.9917335510253906
61,0.8762073516845703,0.8762073516845703,0.9917733073234558,0.9917733073234558
62,0.8764024972915649,0.8764024972915649,0.9918135404586792,0.9918135404586792
63,0.8765913844108582,0.8765913844108582,0.9918546080589294,0.9918546080589294
64,0.8767741322517395,0.8767741322517395,0.9918972253799438,0.9918972253799438
65,0.8769512176513672,0.8769512176513672,0.9919418096542358,0.9919418096542358
66,0.8771229982376099,0.8771229982376099,0.991988718509674,0.9919887185096741
67,0.8772898316383362,0.8772898316383362,0.992038071155548,0.9920380711555481
68,0.8774519562721252,0.8774519562721252,0.9920895099639891,0.9920895099639893
69,0.8776097893714905,0.8776097893714905,0.9921431541442872,0.9921431541442871
70,0.8777636289596558,0.8777636289596558,0.992198646068573,0.992198646068573
71,0.8779138326644897,0.8779138326644897,0.9922558069229126,0.9922558069229126
