#-4.788043436980759 -2.4682162438276336
#r phi U
0.0 1.0 -4.788043436980759
0.0007910928801640783 0.9999995241615397 -4.78804212625236
0.0015821857603281566 0.9999980966462035 -4.788038194067284
0.002373278640492235 0.99999571745728 -4.788031640433866
0.0031643715206563132 0.9999923866077162 -4.788022465384917
0.003955464400820391 0.9999881041085935 -4.788010668948529
0.00474655728098447 0.9999828699764046 -4.787996251166501
0.005537650161148548 0.9999766842299032 -4.787979212086367
0.0063287430413126265 0.9999695468920887 -4.787959551766421
0.0071198359214767045 0.9999614579946511 -4.787937270286985
0.007910928801640783 0.9999524175602971 -4.787912367705612
0.008702021681804862 0.9999424256299231 -4.787884844125956
0.00949311456196894 0.9999314822288864 -4.787854699612289
0.010284207442133018 0.9999195874124158 -4.787821934304594
0.011075300322297097 0.9999067411993824 -4.7877865482507
0.011866393202461174 0.9998929436535656 -4.787748541612263
0.012657486082625253 0.9998781948317296 -4.787707914533159
0.013448578962789332 0.9998624947873893 -4.787664667149025
0.014239671842953409 0.9998458435749971 -4.787618799597877
0.015030764723117488 0.9998282412557487 -4.787570312034822
0.015821857603281565 0.9998096878999028 -4.7875192046379365
0.016612950483445646 0.9997901835726631 -4.787465477572487
0.017404043363609723 0.9997697283493057 -4.787409131029268
0.0181951362437738 0.9997483223055346 -4.787350165200159
0.01898622912393788 0.9997259655188925 -4.7872885802817
0.01977732200410196 0.999702658082503 -4.787224376509924
0.020568414884266036 0.9996784000800746 -4.7871575540969955
0.021359507764430113 0.999653191594065 -4.787088113251915
0.022150600644594193 0.9996270327094173 -4.787016054189978
0.02294169352475827 0.9995999235388515 -4.786941377196887
0.023732786404922348 0.9995718641858243 -4.786864082534861
0.02452387928508643 0.9995428547481243 -4.786784170451758
0.025314972165250506 0.9995128953237995 -4.786701641196091
0.026106065045414583 0.9994819860336667 -4.786616495074081
0.026897157925578664 0.9994501270010202 -4.786528732398232
0.02768825080574274 0.9994173183386493 -4.786438353454422
0.028479343685906818 0.9993835601593426 -4.786345358528524
0.0292704365660709 0.9993488525897227 -4.786249747941477
0.030061529446234976 0.9993131957734982 -4.786151522057527
0.030852622326399053 0.99927658983871 -4.786050681201208
0.03164371520656313 0.9992390349131491 -4.78594722569642
0.03243480808672721 0.9992005311364406 -4.7858411558970575
0.03322590096689129 0.9991610786880775 -4.785732472258069
0.034016993847055366 0.9991206777147346 -4.785621175151219
0.034808086727219446 0.9990793283590133 -4.785507264937945
0.03559917960738353 0.9990370307635151 -4.785390741979688
0.0363902724875476 0.9989937850708416 -4.785271606637887
0.03718136536771168 0.9989495914235942 -4.785149859273982
0.03797245824787576 0.9989044499643743 -4.785025500249414
0.038763551128039836 0.9988583608670585 -4.784898530004892
0.03955464400820392 0.9988113243695955 -4.784768949143528
0.04034573688836799 0.9987633406463728 -4.784636758107328
0.04113682976853207 0.9987144098679004 -4.7845019573284695
0.04192792264869615 0.9986645322046882 -4.784364547239131
0.042719015528860226 0.9986137078272461 -4.78422452827149
0.043510108409024306 0.9985619369060844 -4.784081900857724
0.04430120128918839 0.9985092196117128 -4.783936665430011
0.04509229416935246 0.9984555561561202 -4.783788822525665
0.04588338704951654 0.9984009467993878 -4.783638372803896
0.04667447992968062 0.9983453917410133 -4.783485316770358
0.047465572809844696 0.9982888911791613 -4.783329654927322
0.048256665690008776 0.9982314453119959 -4.783171387777062
0.04904775857017286 0.9981730543376818 -4.78301051582185
0.04983885145033693 0.9981137184543833 -4.7828470395639595
0.05062994433050101 0.998053437860265 -4.782680959505663
0.05142103721066509 0.9979922131436041 -4.782512277138056
0.052212130090829166 0.9979300437545209 -4.782340991067337
0.05300322297099325 0.9978669304734584 -4.782167103271685
0.05379431585115733 0.9978028735071518 -4.781990614275097
0.0545854087313214 0.9977378730658292 -4.781811524610425
0.05537650161148548 0.9976719293632118 -4.7816298348193715
0.05616759449164956 0.997605042616514 -4.781445545452496
0.056958687371813636 0.9975372130466579 -4.781258657069756
0.05774978025197772 0.9974684409387485 -4.781069170393798
0.0585408731321418 0.9973987265811897 -4.7808770861556305
0.05933196601230587 0.9973280702246377 -4.7806824049905785
0.06012305889246995 0.9972564721242809 -4.7804851275454565
0.06091415177263403 0.9971839325398401 -4.7802852544785654
0.06170524465279811 0.9971104517355677 -4.780082786459695
0.06249633753296219 0.9970360299802483 -4.779877724170119
0.06328743041312626 0.9969606675471988 -4.779670068302605
0.06407852329329035 0.9968843647142678 -4.7794598195614
0.06486961617345442 0.9968071217638359 -4.779246978662246
0.0656607090536185 0.996728938982816 -4.779031546332368
0.06645180193378258 0.996649816662653 -4.778813523310478
0.06724289481394666 0.9965697550993237 -4.77859291034678
0.06803398769411073 0.996488754593337 -4.77836970820296
0.06882508057427482 0.9964068154497338 -4.778143917652196
0.06961617345443889 0.9963239379780873 -4.77791553947915
0.07040726633460297 0.9962401224925024 -4.777684574479975
0.07119835921476705 0.9961553692902286 -4.7774510234081
0.07198945209493113 0.9960696786566323 -4.777214886986837
0.0727805449750952 0.995983050909427 -4.776976166021485
0.07357163785525929 0.9958954863706428 -4.776734861328285
0.07436273073542336 0.9958069853663212 -4.776490973733645
0.07515382361558744 0.9957175482265133 -4.776244504074136
0.07594491649575152 0.9956271752852813 -4.775995453196499
0.0767360093759156 0.9955358668806981 -4.775743821957637
0.07752710225607967 0.9954436233548466 -4.77548961122462
0.07831819513624375 0.9953504450538206 -4.775232821874683
0.07910928801640783 0.9952563323277246 -4.774973454795228
0.07990038089657191 0.9951612855306733 -4.774711510883822
0.08069147377673598 0.995065305020792 -4.774446991048199
0.08148256665690007 0.9949683911602171 -4.774179896206256
0.08227365953706414 0.9948705443150947 -4.773910227286059
0.08306475241722822 0.9947717648555819 -4.773637985225837
0.0838558452973923 0.9946720531558466 -4.773363170973986
0.08464693817755638 0.9945714095783046 -4.773085785449131
0.08543803105772045 0.9944698344566388 -4.772805829497099
0.08622912393788454 0.9943673281636647 -4.772523304062873
0.08702021681804861 0.9942638910779513 -4.772238210106018
0.08781130969821269 0.9941595235814777 -4.771950548594741
0.08860240257837677 0.9940542260596336 -4.771660320505896
0.08939349545854085 0.993947998901218 -4.771367526824982
0.09018458833870492 0.9938408424984412 -4.771072168546141
0.09097568121886901 0.9937327572469228 -4.77077424667216
0.09176677409903308 0.9936237435456933 -4.770473762214472
0.09255786697919716 0.9935138017971928 -4.770170716193152
0.09334895985936124 0.9934029324072723 -4.769865109636923
0.09414005273952532 0.9932911357851922 -4.769556943583149
0.09493114561968939 0.9931784123436238 -4.769246219077841
0.09572223849985348 0.9930647624986482 -4.768932937175655
0.09651333138001755 0.9929501866697569 -4.76861709893989
0.09730442426018163 0.9928346852798515 -4.76829870544249
0.09809551714034571 0.9927182587545237 -4.767977757762223
0.09888661002050979 0.9926009075194809 -4.767654256978161
0.09967770290067386 0.9924826320064861 -4.767328204184719
0.10046879578083795 0.9923634326511512 -4.7669996004860655
0.10125988866100202 0.9922433098924501 -4.76666844699489
0.1020509815411661 0.9921222641727183 -4.766334744832405
0.10284207442133018 0.9920002959376534 -4.765998495128346
0.10363316730149426 0.9918774056363142 -4.765659699020969
0.10442426018165833 0.991753593721122 -4.765318357657054
0.10521535306182242 0.9916288606478595 -4.764974472191901
0.1060064459419865 0.9915032068756711 -4.764628043789333
0.10679753882215057 0.9913766328670631 -4.764279073621696
0.10758863170231465 0.9912491390879038 -4.763927562869856
0.10837972458247873 0.9911207260074231 -4.7635735127232035
0.1091708174626428 0.9909913940982124 -4.76321692437965
0.10996191034280689 0.9908611438362254 -4.762857799045628
0.11075300322297096 0.9907299757007773 -4.762496137936095
0.11154409610313504 0.9905978901741597 -4.762131942273553
0.11233518898329913 0.990464887737908 -4.761765213278624
0.1131262818634632 0.9903309688793138 -4.761395952186499
0.11391737474362727 0.9901961340900546 -4.761024160243481
0.11470846762379136 0.9900603838651123 -4.760649838704251
0.11549956050395543 0.9899237187027743 -4.760272988831868
0.11629065338411951 0.9897861391046323 -4.759893611897768
0.1170817462642836 0.9896476455755829 -4.7595117091817665
0.11787283914444767 0.9895082386238278 -4.759127281972058
0.11866393202461174 0.989367918760873 -4.75874033156521
0.11945502490477583 0.9892266865015299 -4.7583508592661765
0.1202461177849399 0.9890845423639141 -4.757958866388282
0.12103721066510398 0.9889414868694465 -4.757564354253233
0.12182830354526807 0.9887975205428525 -4.757167324191113
0.12261939642543214 0.9886526439121625 -4.756767777540385
0.12341048930559621 0.9885068575087116 -4.756365715647887
0.1242015821857603 0.9883601618671397 -4.755961139868839
0.12499267506592437 0.9882125575253027 -4.755554051566611
0.12578376794608845 0.988064045021036 -4.755144452104561
0.12657486082625252 0.9879146248962916 -4.754732342856473
0.1273659537064166 0.9877642976976877 -4.754317725207943
0.1281570465865807 0.9876130639750629 -4.753900600552735
0.12894813946674477 0.9874609242814755 -4.7534809702927765
0.12973923234690884 0.987307879173204 -4.753058835838158
0.13053032522707292 0.9871539292097467 -4.752634198607133
0.131321418107237 0.9869990749538218 -4.752207060026122
0.13211251098740107 0.9868433169713678 -4.751777421529707
0.13290360386756517 0.986686655831543 -4.751345284560633
0.13369469674772924 0.9865290921067256 -4.750910650569813
0.13448578962789332 0.9863706263725138 -4.750473521016322
0.1352768825080574 0.9862112592076507 -4.7500338973672065
0.13606797538822146 0.9860509911924926 -4.749591781093618
0.13685906826838554 0.9858898229111956 -4.749147173676335
0.13765016114854964 0.9857277549516618 -4.748700076605634
0.1384412540287137 0.9855647879049738 -4.748250491379851
0.13923234690887779 0.9854009223653956 -4.747798419505392
0.14002343978904186 0.9852361589303712 -4.747343862496725
0.14081453266920593 0.985070498200526 -4.746886821876382
0.14160562554937 0.9849039407796657 -4.746427299174963
0.1423967184295341 0.9847364872747771 -4.74596529593113
0.14318781130969818 0.9845681382960277 -4.745500813691612
0.14397890418986226 0.9843988944567658 -4.745033854011201
0.14476999707002633 0.98422875637352 -4.744564418452755
0.1455610899501904 0.9840577246658193 -4.74409250858674
0.14635218283035448 0.9838857999538815 -4.743618125985394
0.14714327571051858 0.9837129828622507 -4.743141272231914
0.14793436859068265 0.9835392740193041 -4.742661948919207
