#-4.725077784970169 -2.4396997596979335
#r phi U
0.0 1.0 -4.725077784970169
0.0007910928801640783 0.9999995151518353 -4.725076474241791
0.0015821857603281566 0.9999980606073865 -4.725072542056785
0.002373278640492235 0.9999956363702004 -4.725065988423875
0.0031643715206563132 0.9999922424537406 -4.725056813376203
0.003955464400820391 0.9999878788697172 -4.725045016942591
0.00474655728098447 0.999982545635331 -4.725030599165379
0.005537650161148548 0.9999762427702917 -4.7250135600930845
0.0063287430413126265 0.9999689702987486 -4.724993899785146
0.0071198359214767045 0.9999607282542416 -4.724971618324125
0.007910928801640783 0.9999515166600702 -4.724946715767373
0.008702021681804862 0.9999413355589615 -4.724919192220058
0.00949311456196894 0.9999301849797343 -4.724889047753122
0.010284207442133018 0.9999180649751004 -4.724856282496311
0.011075300322297097 0.9999049755701281 -4.724820896511331
0.011866393202461174 0.9998909168304818 -4.724782889959815
0.012657486082625253 0.999875888815238 -4.724742262987179
0.013448578962789332 0.9998598915801574 -4.7246990157306765
0.014239671842953409 0.9998429251821819 -4.724653148330471
0.015030764723117488 0.9998249896867484 -4.724604660947633
0.015821857603281565 0.9998060851665956 -4.724553553761211
0.016612950483445646 0.9997862116901457 -4.724499826939625
0.017404043363609723 0.9997653693370495 -4.724443480678937
0.0181951362437738 0.9997435581857057 -4.724384515172124
0.01898622912393788 0.9997207783189676 -4.724322930623132
0.01977732200410196 0.999697029833862 -4.724258727270793
0.020568414884266036 0.999672312817079 -4.724191905328495
0.021359507764430113 0.9996466273546969 -4.724122465008122
0.022150600644594193 0.9996199735377138 -4.724050406533666
0.02294169352475827 0.9995923514858106 -4.723975730199728
0.023732786404922348 0.9995637613046968 -4.723898436266511
0.02452387928508643 0.9995342030964526 -4.72381852498529
0.025314972165250506 0.9995036769645828 -4.723735996610845
0.026106065045414583 0.9994721830398845 -4.723650851465138
0.026897157925578664 0.9994397214475731 -4.723563089856392
0.02768825080574274 0.9994062923053861 -4.7234727120744235
0.028479343685906818 0.9993718957311125 -4.723379718409174
0.0292704365660709 0.9993365318638531 -4.72328410920305
0.030061529446234976 0.9993002008495856 -4.723185884815383
0.030852622326399053 0.9992629028217065 -4.723085045574536
0.03164371520656313 0.9992246379136118 -4.722981591808873
0.03243480808672721 0.9991854062807421 -4.722875523901023
0.03322590096689129 0.9991452081069728 -4.722766842303616
0.034016993847055366 0.9991040435420877 -4.722655547385357
0.034808086727219446 0.9990619127349427 -4.722541639512667
0.03559917960738353 0.9990188158343934 -4.722425119051966
0.0363902724875476 0.9989747529892959 -4.7223059863696735
0.03718136536771168 0.9989297243485059 -4.72218424183221
0.03797245824787576 0.998883730060879 -4.7220598858059954
0.038763551128039836 0.9988367703334452 -4.721932918800663
0.03955464400820392 0.9987888453995459 -4.721803341390623
0.04034573688836799 0.9987399554372378 -4.7216711540141825
0.04113682976853207 0.9986901006245229 -4.721536357109513
0.04192792264869615 0.9986392811394035 -4.721398951114789
0.042719015528860226 0.9985874971598817 -4.721258936468184
0.043510108409024306 0.9985347488639597 -4.72111631360787
0.04430120128918839 0.9984810364303888 -4.720971082973866
0.04509229416935246 0.998426360112011 -4.720823245188597
0.04588338704951654 0.9983707201568439 -4.720672800862611
0.04667447992968062 0.9983141167717692 -4.720519750505184
0.047465572809844696 0.9982565501636688 -4.720364094625588
0.048256665690008776 0.9981980205394246 -4.7202058337330985
0.04904775857017286 0.9981385281059185 -4.720044968336989
0.04983885145033693 0.9980780730700325 -4.719881498946532
0.05062994433050101 0.9980166561504474 -4.719715427331125
0.05142103721066509 0.9979542764066472 -4.7195467511749865
0.052212130090829166 0.9978909349103364 -4.719375473116705
0.05300322297099325 0.9978266318748432 -4.719201593681427
0.05379431585115733 0.9977613675171588 -4.7190251134033145
0.0545854087313214 0.9976951420579377 -4.718846032825556
0.05537650161148548 0.997627955721498 -4.718664352500351
0.05616759449164956 0.9975598087358207 -4.7184800729889265
0.056958687371813636 0.9974907013414342 -4.718293194883401
0.05774978025197772 0.9974206338602306 -4.7181037189762565
0.0585408731321418 0.9973496065689063 -4.717911645948676
0.05933196601230587 0.9972776197308298 -4.7177169764490205
0.06012305889246995 0.9972046736141291 -4.717519711137368
0.06091415177263403 0.9971307684916899 -4.717319850685515
0.06170524465279811 0.9970559046411572 -4.717117395776973
0.06249633753296219 0.9969800823449345 -4.716912347106972
0.06328743041312626 0.9969033018901838 -4.716704705382458
0.06407852329329035 0.996825563568826 -4.716494471322094
0.06486961617345442 0.9967468676775405 -4.71628164565626
0.0656607090536185 0.9966672145177654 -4.716066229127054
0.06645180193378258 0.9965866043956974 -4.715848222488289
0.06724289481394666 0.9965050376222918 -4.715627626505496
0.06803398769411073 0.996422514513263 -4.715404441955924
0.06882508057427482 0.9963390353890834 -4.7151786696285365
0.06961617345443889 0.9962546005749846 -4.714950310324015
0.07040726633460297 0.9961692103970017 -4.714719364845032
0.07119835921476705 0.9960828651466715 -4.714485833909403
0.07198945209493113 0.9959955651437483 -4.71424971830437
0.0727805449750952 0.9959073107220555 -4.714011018851796
0.07357163785525929 0.995818102219623 -4.713769736383899
0.07436273073542336 0.9957279399786867 -4.713525871743259
0.07515382361558744 0.9956368243456891 -4.713279425782811
0.07594491649575152 0.9955447556712788 -4.713030399365849
